id;code_table_key;code_enty_name;code_enty_definition_text;code_table_name;code_attrb_name;desc_attrb_name;code_col_name;desc_col_name;comment_text;name_attrb_name;name_col_name;create_date;create_user_id;upd_date;upd_user_id
1;37454;Directives application Home Loan Account;Dam;Practical Fresh Pants;Metal deposit;Producer;Implementation Electronics Officer;methodology Albania;Home Namibia;Steel zero administration;Multi-channelled Licensed;2019-06-07T02:34:45;syndicate;2019-06-06T17:49:23;Canyon HDD
2;68030;Centers;Factors;South Dakota envisioneer Music;Nakfa;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;connect Markets Chief;2019-06-07T03:04:15;National Awesome sky;2019-06-07T16:20:05;software scale inter
3;82873;compelling mission-critical;bifurcated scalable;Small;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;2019-06-07T08:13:48;Developer;2019-06-06T21:02:48;hard drive Robust Ne
4;4043;system Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;2019-06-07T11:57:00;synergies copying;2019-06-06T20:45:47;Games
5;51074;supply-chains magenta;encompassing;Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms;encompassing;deposit Canadian Dollar Lebano;2019-06-07T06:40:25;Dominican Republic C;2019-06-07T08:32:55;Re-contextualized
6;80313;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision;2019-06-07T15:11:09;Customer Human depos;2019-06-07T09:17:01;cross-media
7;72595;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia;Ports Manager Fish;Networked;Fish;payment calculating;local area network Benin;2019-06-07T05:12:32;withdrawal Ergonomic;2019-06-07T03:15:49;Coordinator Cambridg
8;43439;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;2019-06-07T03:44:20;Intelligent;2019-06-07T02:39:37;Director Concrete Be
9;87737;program;Metal array France;redundant;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;Garden Dale Wallis and Futuna;generating;2019-06-06T20:46:15;Assimilated;2019-06-07T16:29:18;frame Brunei Darussa
10;82786;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;redundant;content;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;2019-06-07T02:44:21;paradigms Organic st;2019-06-06T23:13:56;Garden
